"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed","log_tip","log_distance","dist_dur","is_weekday","is_summer","time_of_day","log_points","poin_deli","deliveries_f"
6.97,18.5,5,16.35,47.9333333333333,12,2,10.37,8,-0.25881904510252,0.923879532511287,9.02067185981353,0.341098748261474,0.188192041581645,2.07568449280212,2.85359250639287,136.782200806431,1,1,"evening",2.56494935746154,24,"2"
5.01,1,3,0.52,17.7166666666667,1,1,2.31,5,0.5,0.25881904510252,0.300158498416763,0.0293508936970837,0.0169421541909744,1.79342474854712,0.418710334858185,7.41815143257086,1,1,"night",0.693147180559945,1,"1"
3,19,2,1.6,15.8666666666667,6,1,2.65,5,-0.499999999999999,0.965925826289068,0.609629678936503,0.100840336134454,0.0384220385884351,1.38629436111989,0.955511445027436,15.1607815944354,1,1,"evening",1.94591014905531,6,"1"
17.32,20,5,4.81,35.25,6,1,3.07,5,-0.866025403784439,1,4.39785886949462,0.13645390070922,0.124761953744528,2.90799335924598,1.75958057086382,62.0252151229496,1,1,"evening",1.94591014905531,6,"1"
3,10.5,5,1.42,22.7166666666667,3,1,3.04,6,-0.707106781186548,-0.793353340291235,8.91562289556197,0.0625091709464417,0.392470560332882,1.38629436111989,0.883767540168595,20.0762526208299,1,1,"afternoon",1.38629436111989,3,"1"
3,13.5,1,5.64,20.8166666666667,3,1,4.05,7,0.707106781186547,-0.130526192220052,3.87849276989007,0.27093674939952,0.186316706319779,1.38629436111989,1.89311196348834,39.4082807066157,1,1,"afternoon",1.38629436111989,3,"1"
8.51,8,5,10.58,37.0833333333333,0,2,6.83,9,-0.866025403784438,-1,5.4047330979419,0.285303370786517,0.145745611629894,2.2523438765573,2.44927947214485,90.8274470920381,1,1,"afternoon",0,0,"2"
5.58,18.5,5,5.74,20.5833333333333,6,1,3.85,9,-0.25881904510252,0.923879532511287,3.09086850406131,0.278866396761134,0.150163652019173,1.88403474533723,1.90805992492422,39.27423345469,1,1,"evening",1.94591014905531,6,"1"
2,12,1,3.26,22.6,3,1,4.02,8,-2.44929359829471e-16,-0.5,1.22091766948276,0.144247787610619,0.0540229057293256,1.09861228866811,1.44926916028128,32.7534830223569,1,1,"afternoon",1.38629436111989,3,"1"
9,18.5,1,0.97,6.38333333333333,6,1,3.05,6,-0.25881904510252,0.923879532511287,0.569952277695357,0.151958224543081,0.0892875630854345,2.30258509299405,0.678033542749897,4.32811411455351,1,1,"evening",1.94591014905531,6,"1"
7.16,19.5,6,5.96,21.6666666666667,6,1,3.27,4,-0.707106781186547,0.99144486137381,0.791313088672168,0.275076923076923,0.0365221425541,2.09924416897602,1.94017947434633,42.0372219441705,1,0,"evening",1.94591014905531,6,"1"
8,20.5,5,6.03,23.0333333333333,12,2,6.3,7,-0.965925826289068,0.99144486137381,3.15141552029714,0.261794500723589,0.136819776568617,2.19722457733622,1.95018670582257,44.9193004574465,1,1,"evening",2.56494935746154,24,"2"
12.34,20.5,2,2.98,33.8333333333333,6,1,5.01,9,-0.965925826289068,0.99144486137381,0.92577704930546,0.0880788177339901,0.0273628684523781,2.59076704048748,1.38128181929635,46.7333682195263,1,1,"evening",1.94591014905531,6,"1"
3.99,12,0,1.64,19.2166666666667,3,1,3.06,4,-2.44929359829471e-16,-0.5,0.315998688765737,0.0853425845620121,0.0164439907423627,1.60743590976343,0.970778917158225,18.6551348580573,1,0,"afternoon",1.38629436111989,3,"1"
3,1,5,1.87,21.5666666666667,1,1,5.6,3,0.5,0.25881904510252,1.34070746879598,0.0867078825347759,0.062165724982812,1.38629436111989,1.05431202977153,22.7379961087394,1,0,"night",0.693147180559945,1,"1"
17.1,18.5,2,17.43,59.4666666666667,24,3,19.56,8,-0.25881904510252,0.923879532511287,3.61376725134541,0.293105381165919,0.0607696286661223,2.89591193827178,2.91397977168173,173.284663756007,1,1,"evening",3.2188758248682,72,"3"
9.14,22.5,6,5.13,26.5666666666667,2,1,4.93,8,-0.707106781186547,0.793353340291235,2.3427896766908,0.193099121706399,0.0881853077800804,2.31648799816304,1.81319474994812,48.1705405236218,1,1,"night",1.09861228866811,2,"1"
4,2,5,6.75,29.8666666666667,2,2,9.31,3,0.866025403784439,-1.83697019872103e-16,7.34884738118997,0.226004464285714,0.246055157852343,1.6094379124341,2.04769284336526,61.157759588509,1,0,"night",1.09861228866811,4,"2"
4,0.5,6,3.83,24.9166666666667,1,1,5.87,3,0.258819045102521,0.382683432365089,0.882569627932322,0.15371237458194,0.0354208546327353,1.6094379124341,1.57484646766448,39.2399244859734,1,0,"night",0.693147180559945,1,"1"
9,8.5,6,2.73,18.5333333333333,1,1,7.08,8,-0.965925826289068,-0.99144486137381,0.536540318378642,0.147302158273381,0.0289500171787037,2.30258509299405,1.31640823365572,24.397432597086,1,1,"afternoon",0.693147180559945,1,"1"
3,10.5,0,3.27,17.9,1,1,3.29,3,-0.707106781186548,-0.793353340291235,1.24539368764634,0.18268156424581,0.0695750663489578,1.38629436111989,1.45161382724053,25.9838875076055,1,0,"afternoon",0.693147180559945,1,"1"
12.32,20,4,3.5,18.4666666666667,12,3,4.6,6,-0.866025403784439,1,2.69920639698411,0.189530685920578,0.146166411389031,2.58926666511224,1.50407739677627,27.7752959271352,1,1,"evening",2.56494935746154,36,"3"
