"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed"
5.45,11.5,2,3.71,24.9833333333333,3,1,3.24,3,-0.258819045102522,0.965925826289068,1.63677642763793,0.148498999332889,0.0655147335945803
5.2,12.5,2,5.83,28.55,6,2,6.93,3,0.258819045102521,0.965925826289068,0.392233880143422,0.204203152364273,0.013738489672274
24.93,19.5,0,17.58,46.0333333333333,12,2,7.77,5,-0.707106781186547,-0.707106781186548,9.45031945235069,0.38189717595945,0.205292964207473
4.25,21,0,1.32,15.1833333333333,1,1,2.75,5,-1,-4.28626379701574e-16,1.40292285378088,0.0869374313940725,0.0923988707210238
7.43,22,0,8.8,43.6833333333333,2,2,32.51,5,-0.866025403784439,0.499999999999999,1.69309054402333,0.201449828309805,0.0387582726598245
2,7.5,4,2.19,23.6,0,1,3.03,9,-0.707106781186547,-0.707106781186548,0.874112701697776,0.0927966101694915,0.0370386738007532
7,9,6,3.23,22.35,1,1,4.07,4,-1,-1.83697019872103e-16,3.60772568107361,0.144519015659955,0.16141949356034
10.23,10,6,7.23,40.75,2,2,6.88,4,-0.866025403784439,0.5,1.20337503190168,0.177423312883436,0.029530675629489
8.19,11.5,6,16.44,15,6,2,6.87,4,-0.258819045102522,0.965925826289068,7.20046150758534,1.096,0.480030767172356
6.34,18.5,6,12.52,49.6333333333333,12,2,20.26,4,-0.25881904510252,-0.965925826289068,7.34201064464852,0.252249832102082,0.147924996198425
5.69,19.5,6,5.03,24.5,6,1,6.36,4,-0.707106781186547,-0.707106781186548,3.71656507552566,0.20530612244898,0.151696533694925
3,20,6,1.26,15.8166666666667,6,1,3.04,4,-0.866025403784439,-0.5,0.659648775862569,0.0796628029504742,0.0417059289270328
8.68,7.5,2,2.68,27.1,1,1,3.63,8,-0.707106781186547,-0.707106781186548,1.16047760823662,0.0988929889298893,0.0428220519644508
5,9,2,5.87,16.95,1,1,3.57,8,-1,-1.83697019872103e-16,5.43510336067612,0.346312684365782,0.320655065526615
5.11,9.5,2,7.43,50.6666666666667,2,1,11.18,8,-0.965925826289068,0.25881904510252,8.76502077766014,0.146644736842105,0.172993831138029
